basomrade;name;year;Befolkning Total
1010202;Centralstationen S;2000;
1010202;Centralstationen S;2001;
1010202;Centralstationen S;2002;
1010202;Centralstationen S;2003;
1010202;Centralstationen S;2004;
1010202;Centralstationen S;2005;
1010202;Centralstationen S;2006;
1010202;Centralstationen S;2007;
1010202;Centralstationen S;2008;
1010202;Centralstationen S;2009;
1010202;Centralstationen S;2010;
1010202;Centralstationen S;2011;
1010202;Centralstationen S;2012;
1010202;Centralstationen S;2013;
1010202;Centralstationen S;2014;
1010202;Centralstationen S;2015;
1010202;Centralstationen S;2016;
1010202;Centralstationen S;2017;
1010260;Hötorgscity;2000;
1010260;Hötorgscity;2001;
1010260;Hötorgscity;2002;
1010260;Hötorgscity;2003;
1010260;Hötorgscity;2004;
1010260;Hötorgscity;2005;
1010260;Hötorgscity;2006;
1010260;Hötorgscity;2007;
1010260;Hötorgscity;2008;
1010270;Hötorget;2002;
1010280;Sergels Torg;2000;
1010280;Sergels Torg;2001;
1010280;Sergels Torg;2002;
1010280;Sergels Torg;2003;
1010280;Sergels Torg;2004;
1010280;Sergels Torg;2005;
1010280;Sergels Torg;2006;
1010280;Sergels Torg;2007;
1010280;Sergels Torg;2008;
1010280;Sergels Torg;2009;
1010280;Sergels Torg;2010;
1010280;Sergels Torg;2011;
1010280;Sergels Torg;2012;
1010280;Sergels Torg;2013;
1010280;Sergels Torg;2014;
1010280;Sergels Torg;2015;
1010280;Sergels Torg;2016;
1010280;Sergels Torg;2017;
1010320;Gallerian;2000;
1010320;Gallerian;2001;
1010320;Gallerian;2002;
1010320;Gallerian;2003;
1010320;Gallerian;2004;
1010320;Gallerian;2005;
1010320;Gallerian;2006;
1010320;Gallerian;2007;
1010320;Gallerian;2008;
1010320;Gallerian;2009;
1010320;Gallerian;2010;
1010320;Gallerian;2011;
1010320;Gallerian;2012;
1010320;Gallerian;2013;
1010320;Gallerian;2014;
1010320;Gallerian;2015;
1010320;Gallerian;2016;
1010320;Gallerian;2017;
1010330;Norrmalmstorg;2006;
1010330;Norrmalmstorg;2017;
1010350;Blasieholmen;2014;
1120132;Norra Bantorget V;2000;
1120132;Norra Bantorget V;2001;
1120132;Norra Bantorget V;2002;
1120132;Norra Bantorget V;2003;
1120132;Norra Bantorget V;2004;
1120132;Norra Bantorget V;2005;
1120132;Norra Bantorget V;2006;
1120132;Norra Bantorget V;2007;
1120132;Norra Bantorget V;2008;
1120132;Norra Bantorget V;2009;
1140211;Norra Station 1;2015;
1140211;Norra Station 1;2016;
1210152;Stureplan V;2004;
1210152;Stureplan V;2005;
1210152;Stureplan V;2006;
1210152;Stureplan V;2007;
1210152;Stureplan V;2008;
1210152;Stureplan V;2009;
1210152;Stureplan V;2010;
1210152;Stureplan V;2011;
1210152;Stureplan V;2012;
1210152;Stureplan V;2016;
1210152;Stureplan V;2017;
1210162;Humlegården V;2000;
1210162;Humlegården V;2001;
1210162;Humlegården V;2002;
1210162;Humlegården V;2003;
1210162;Humlegården V;2004;
1210162;Humlegården V;2005;
1210162;Humlegården V;2006;
1210162;Humlegården V;2007;
1210162;Humlegården V;2008;
1210162;Humlegården V;2009;
1210162;Humlegården V;2010;
1210162;Humlegården V;2011;
1210162;Humlegården V;2012;
1210162;Humlegården V;2013;
1210162;Humlegården V;2014;
1210162;Humlegården V;2015;
1210162;Humlegården V;2016;
1210162;Humlegården V;2017;
1210231;Lill-Jansskogen Ö;2000;
1210231;Lill-Jansskogen Ö;2001;
1210231;Lill-Jansskogen Ö;2002;
1210231;Lill-Jansskogen Ö;2003;
1210231;Lill-Jansskogen Ö;2009;
1210232;Lill-Jansskogen V;2000;
1210232;Lill-Jansskogen V;2001;
1210232;Lill-Jansskogen V;2003;
1210232;Lill-Jansskogen V;2004;
1210340;Albano;2000;
1210340;Albano;2001;
1210340;Albano;2002;
1210340;Albano;2003;
1210350;Stora Skuggan;2000;
1210350;Stora Skuggan;2001;
1210350;Stora Skuggan;2002;
1210350;Stora Skuggan;2003;
1210350;Stora Skuggan;2004;
1210350;Stora Skuggan;2005;
1210350;Stora Skuggan;2006;
1210350;Stora Skuggan;2007;
1210350;Stora Skuggan;2008;
1210350;Stora Skuggan;2009;
1210350;Stora Skuggan;2010;
1210350;Stora Skuggan;2011;
1210421;Värtaverket 1;2010;
1210421;Värtaverket 1;2011;
1210421;Värtaverket 1;2012;
1210421;Värtaverket 1;2013;
1210422;Värtaverket 2;2012;
1210430;Värtahamnen;2008;
1210430;Värtahamnen;2009;
1210431;Värtahamnen 1;2010;
1210431;Värtahamnen 1;2011;
1210431;Värtahamnen 1;2012;
1210431;Värtahamnen 1;2013;
1210431;Värtahamnen 1;2014;
1210432;Värtahamnen 2;2010;
1210432;Värtahamnen 2;2011;
1210432;Värtahamnen 2;2012;
1230150;Garnisonen;2000;
1230150;Garnisonen;2001;
1230150;Garnisonen;2002;
1230150;Garnisonen;2003;
1230150;Garnisonen;2004;
1230150;Garnisonen;2005;
1230150;Garnisonen;2006;
1230150;Garnisonen;2007;
1230150;Garnisonen;2008;
1230150;Garnisonen;2009;
1230150;Garnisonen;2010;
1230150;Garnisonen;2011;
1230150;Garnisonen;2012;
1230150;Garnisonen;2013;
1230150;Garnisonen;2015;
1230150;Garnisonen;2016;
1230170;Diplomatstaden;2002;
1230170;Diplomatstaden;2015;
1230340;Fågelberget;2000;
1230340;Fågelberget;2001;
1230340;Fågelberget;2002;
1230340;Fågelberget;2003;
1230340;Fågelberget;2004;
1230340;Fågelberget;2005;
1230340;Fågelberget;2006;
1230340;Fågelberget;2007;
1230340;Fågelberget;2008;
1230340;Fågelberget;2009;
1230340;Fågelberget;2010;
1230340;Fågelberget;2011;
1230340;Fågelberget;2012;
1230340;Fågelberget;2013;
1230340;Fågelberget;2014;
1230340;Fågelberget;2015;
1230340;Fågelberget;2016;
1230340;Fågelberget;2017;
1230370;Tegeludden;2000;
1230370;Tegeludden;2001;
1230370;Tegeludden;2002;
1230370;Tegeludden;2003;
1230370;Tegeludden;2004;
1230370;Tegeludden;2005;
1230370;Tegeludden;2006;
1230380;Frihamnen;2000;
1230380;Frihamnen;2001;
1230380;Frihamnen;2002;
1230380;Frihamnen;2003;
1230380;Frihamnen;2004;
1230380;Frihamnen;2005;
1230380;Frihamnen;2006;
1230380;Frihamnen;2007;
1230380;Frihamnen;2008;
1230380;Frihamnen;2009;
1230380;Frihamnen;2010;
1230380;Frihamnen;2011;
1230380;Frihamnen;2012;
1230380;Frihamnen;2013;
1230380;Frihamnen;2014;
1230380;Frihamnen;2015;
1230380;Frihamnen;2016;
1230380;Frihamnen;2017;
1320330;Lindhagensplan;2000;
1320330;Lindhagensplan;2001;
1320330;Lindhagensplan;2002;
1320330;Lindhagensplan;2003;
1320330;Lindhagensplan;2004;
1320330;Lindhagensplan;2005;
1320330;Lindhagensplan;2006;
1320330;Lindhagensplan;2007;
1320330;Lindhagensplan;2008;
1320330;Lindhagensplan;2009;
1320340;Östra Hornsberg;2000;
1320340;Östra Hornsberg;2003;
1320340;Östra Hornsberg;2006;
1320340;Östra Hornsberg;2007;
1320430;Västra Hornsberg;2000;
1320430;Västra Hornsberg;2001;
1320430;Västra Hornsberg;2002;
1320430;Västra Hornsberg;2003;
1320430;Västra Hornsberg;2004;
1320430;Västra Hornsberg;2005;
1320430;Västra Hornsberg;2006;
1320430;Västra Hornsberg;2007;
1320430;Västra Hornsberg;2008;
1320430;Västra Hornsberg;2009;
1320430;Västra Hornsberg;2010;
1320430;Västra Hornsberg;2011;
1420350;Tantolunden;2000;
1420350;Tantolunden;2001;
1420350;Tantolunden;2002;
1420350;Tantolunden;2003;
1420350;Tantolunden;2004;
1420350;Tantolunden;2005;
1420350;Tantolunden;2006;
1420350;Tantolunden;2007;
1420350;Tantolunden;2008;
1420350;Tantolunden;2009;
1420350;Tantolunden;2010;
1420350;Tantolunden;2011;
1420350;Tantolunden;2012;
1420350;Tantolunden;2013;
1420350;Tantolunden;2014;
1420350;Tantolunden;2015;
1420350;Tantolunden;2016;
1420350;Tantolunden;2017;
1430170;Skanstull;2000;
1430170;Skanstull;2001;
1430170;Skanstull;2002;
1430170;Skanstull;2003;
1430170;Skanstull;2004;
1430170;Skanstull;2005;
1430170;Skanstull;2006;
